,botanical_name,common_name,family,plant_type,mature_size,sun_exposure,soil_type,soil_ph,bloom_time,flower_color,hardiness_zones,native_area
21,Alocasia micholitziana 'Frydek' ,"Alocasia frydek, green velvet Alocasia ",Araceae ,Herbaceous perennial ,"2-3 ft. tall, 2-3 ft. wide ",Partial ,Moist but well-drained ,Acidic ,"Spring, summer ",Green ,"9-11, US",Asia
22,Alocasia maharani ,"Alocasia grey dragon, African mask maharani ",Araceae ,"Perennial, corm ",14 in. tall (indoors) ,Partial ,Moist but well-draining ,Acidic ,"Spring, summer ","Green, white ","10, USDA ",Asia 
23,Alocasia zebrina ,"Zebra plant, zebrina Alocasia, tiger taro (gabing tigre) ",Araceae ,"Perennial, bulb ","3 ft. tall (indoors), 3 ft. wide (indoors) ",Partial ,Moist but well-draining ,"Acidic, neutral","Spring, summer ","Green, white ","10-11, USA ",Asia 
24,Ribes alpinum,"Alpine currant, Mountain currant",,Shrub,"6 feet tall, 6 feet wide",Full sun,"Moist, well-drained",6.1 - 7.8,Spring,Green-yellow,2-7,Central and Northern Europe
25,Hibiscus syriacus,"Rose of Sharon, shrub althea, rose mallow, Syrian mallow, Syrian hibiscus",Malvaceae,Shrub,"8–12 ft. tall, 6–10 ft. wide","Full, partial","Moist, well-drained","Acidic, neutral","Summer, fall","Pink, purple, lavender, red, blue, white; often with dark throats","5–8, USDA",Asia
26, Pilea cadierei," Aluminum Plant, Watermelon Pilea",, Herbaceous perennial, 1 - 2 ft," At least four hours of indirect, sun a day", Sandy soil mixture, Slight acidic to neutral, Rarely blooms, White," 9b-11, USA", North Africa
27,Lobularia maritima,,Brassicaceae,Herbaceous perennial,"3–10 in. tall, 2–4 in. wide",Full or partial,Moist but well-drained,Neutral to acidic,"Spring, fall","White, pink, purple",5–9 (USDA),
28,Amaranthus spp.,,Amaranthaceae,Annual,"2–5 ft. tall, 1-2 ft. wide","Full, partial",Moist but well-drained,"Neutral, acidic","Summer, fall, winter","Red, burgundy, pink, orange, green",2-11 (USDA),"North America, Central America"
29,Hippeastrum (Group),Amaryllis,,Perennial bulb,1 to 2 feet tall; 9- to 12-inch spread,Full sun to part shade,"Rich, well-drained soil (outdoors); rich potting mix (indoors)",6.0 to 6.5 (slightly acidic),Seasonal bloomer,"Red, pink, white with spots and bands",8 to 10 (USDA),Central and South America
30,Allium 'Ambassador',"Ambassador allium, Ambassador flowering onion",,Bulb plant,46 inches tall,Full sun,"Friable, evenly moist, and well-drained",Slightly acidic to neutral,May to June,Light purple,,Northern Hemisphere
31,Fagus grandifolia,American beech tree,Fagaceae,Deciduous tree,"50-80 ft. tall, 40–80 ft. wide","Full, partial","Medium moisture, rich, well-drained",Acidic (5.0–6.5),April to May,Yellowish-green (not showy),3 to 9 (USDA),Eastern North America
32,Sambucus canadensis,"Common elderberry, black elderberry, American elderberry",,Deciduous shrub,"5–12 ft. tall, 3–6 ft. wide","Full sun, partial shade",Moist but well-drained,Neutral but acidic,Summer,White,3–9 (USDA),North America
33,Panax quinquefolius,"American ginseng, Asain ginseng",,Deciduous perennial,,"Partial shade, shade",Moist but well-drained,Acidic,Summer,Greenish white,3–7 (USDA),"North America, Asia"
34,Diospyros virginiana,American persimmon,,Deciduous tree,35 to 50 feet,"Full sun, afternoon shade","Tolerant of all soils except salt, loam preferred",6.5 to 7.5,Late spring,White or pink,4 to 9 (USDA),
35, Liquidambar styraciflua 'Rotundiloba',,, Deciduous tree, 80 feet tall and 60 feet wide for the species plant. 'Rotundiloba' grows 60 to 70 feet tall; its spread is about 30 feet at the base and narrows toward the top., Full sun," Well-drained loam, with good fertility", Acidic to neutral,,,,
36,Wisteria frutescens,American wisteria,,Vine,20 to 30 ft. long,"Full, partial",Moist but well-drained,"Acidic, neutral","Spring, summer","Blue, purple, white","5 to 9, USA",North America
37,Adonis amurensis,Amur adonis,,Herbaceous perennial,1 foot tall (with a somewhat greater spread),Full sun to partial shade ,Well-drained,Slightly acidic to slightly alkaline,March or April in zone 5,Yellow,3 to 7,Northeastern Asia
38,Anemone spp.,"Anemone, windflower, Grecian windflower, poppy windflower",Ranunculaceae ,Herbaceous perennial,"6 in.–4 ft. tall, 2–3 ft. wide (varies by species)",Full to partial,"Rich, moist","Acidic, neutral","Spring, summer, fall (varies by species)","Red, orange, yellow-green, blue, purple, red-purple, white, ivory, pink",3–10 (USDA); varies by species,Temperate zones worldwide; many species are native to North America
39,"Datura inoxia, Datura innoxia",,Solanaceae,"Herbaceous, perennial","2–3 ft. tall, 3–6 ft. wide",Full,"Loamy, well-drained","Neutral, alkaline","Summer, fall","White, pink, purple",9–10 (USDA),"North America, Central America, South America"
40,Agastache foeniculum,"Anise Hyssop, Agastache, Licorice Mint, Hummingbird Mint, blue giant hyssop, fragrant giant hyssop, licorice plant, lavender giant hyssop",,Native herbaceous perennial,"2 - 4 ft. tall, 1 - 3 ft. wide",Full sun,"Fertile Chalk, Loam, Sand (not heavy clay, which doesn't drain well and causes winter problems)",Neutral,Mid-summer to fall,"Pink to creamy white, powder blue to red-violet (most commonly blue to lavender purple)","3-8, USDA",North America
41,Angelica archangelica ,Angelica,Apiaceae,Herbaceous biennial,3 to 6 ft. tall,"Full sun, part shade","Rich, moist soil",Slightly acidic,June to August,"Green, White","Zones 4-7, USDA","Europe, Greenland, West Siberia"
42,Sedum rupestre 'Angelina',"Angelina stonecrop, rocky stonecrop",Crassulaceae,Herbaceous perennial,"4–6 in. tall, 1–3 ft. wide","Full, partial","Moderately moist, well-draining",6.0 to 7.0 (slightly acidic to neutral),Summer,Yellow,5a-9a (USDA),"Europe, Turkey"
43,Angelonia angustifolia,"Angelonia, summer snapdragon",Plantaginaceae,"Perennial in warm climates, grown as an annual in USDA zones 8 and lower","18 inches tall, 9 to 12 inches wide",Full sun,"Moist, fertile, well-drained",Acidic,Summer,"White, pink, mauve, violet, purple",9-11 (USDA),"Mexico, West Indies, South America"
44,Magnolia salicifolia,"Anise magnolia, willow leaf magnolia ",Magnoliaceae,Deciduous tree,20-30 ft. tall and wide,"Full, partial","Moist, well-drained",Acidic (4.5-6.5),Early spring,White,4–9 (USDA),
45,Anthurium spp.,,Araceae,Herbaceous perennial,"12-18 in., 9- to 12-inch spread",Bright indirect light,"Coarse, moist potting mix",Acidic (5.5 to 6.5),"Flowers year-round, usually 3-month intervals","Red, pink, white with a contrasting spadix",11 to 12,"Central America, South America, Caribbean"
46,Prunus armeniaca,Apricot Tree,,Tree, 20-30 ft. tall and wide., Full Sun,"average, medium moisture, well-drained",Neutral to Slightly Alkaline,Late April,white or pink,USDA 5-8,China
47,Jasminum sambac,Arabian jasmine,,Evergreen,"6-10 ft. tall, 6-10 ft. wide","Full, partial","Loamy, moist but well-drained","Acidic, neutral",Summer,"Pink, white","9-11, USA",Asia
48,Dypsis lutescens (formerly Chrysalidocarpus lutescens),,Arecaceae,Palm or cycad,12-30 feet tall outdoors with a crown spread of 10-20 feet; 8 feet tall indoors,Full to partial sun,"Moist, well-drained","Acidic, neutral",Summer,Pale yellow,10–11 (USDA),Madagascar
49,Cupressus arizonica ,Arizona Cypress,,Coniferous evergreen,"40 to 50 feet tall, 15 to 30 feet wide",Full sun,"Acidic, alkaline, loamy, sandy, well-drained","Acidic, alkaline, neutral",Non-flowering,Non-flowering,7 to 9 (USDA),"Southwest United States, Mexico"
50,Hamamelis × intermedia 'Arnold Promise','Arnold Promise' witch hazel,,Deciduous flowering shrub,12 to 15 feet tall; similar spread,Full sun to part shade,"Average, medium-moisture well-drained soil",4.5 to 6.5 (acidic; but will tolerate neutral or slightly alkaline soil),Late winter or early spring,Yellow,5 to 8 (USDA),Hybrid plant; parents are native to Japan and China
51,Aronia melanocarpa,,,Shrub,3–6 ft. tall and wide,"Full, partial",Well-drained ,Acidic,Spring,White,,North America
52,Syngonium podophyllum,Arrowhead vine,,Vine,"3–6 ft. tall, 1–2 ft. wide",Partial shade,Moist but well-drained,Neutral to acidic,Summer (rarely flowers),White,10–12 (USDA),"South America, Mexico"
53,Viburnum dentatum,,,Shrub,6–10 ft. tall and wide,"Full, partial","Loamy, moist, well-drained",Acidic,Spring,White,2–8 (USDA),North America
54,Artemisia spp.,Artemisia,Asteraceae,"Herbaceous, perennial, shrub","1-5 feet tall, 1–10 feet wide",Full,Well-drained,"Acidic, neutral, alkaline","Summer, fall","White, yellow",3–10 (USDA),"Central America, Europe, North America, South America"
55,Cynara scolymus ,"Artichoke, globe artichoke, French artichoke, green artichoke",Asteraceae,"Herbaceous, perennial, biennial","3-6 ft. tall, 4-5 ft. wide",Full ,Well-drained,Neutral,"Summer, fall",Purple,7-11 (USDA),Mediterranean
56,Eruca versicaria,"Arugula, rocket, garden rocket",Brassicaceae,"Annual, vegetable",,"Full sun, part shade","Loamy, moist, well-drained","Acidic, neutral (6 to 7)",Seasonal,,2–11 (USDA),Mediterranean 
57,Zantedeschia aethiopica,"Calla lily, arum lily",Araceae,Rhizome,"2–3 ft. tall, 1–2 ft. wide","Full, partial",Moist but well-drained,Acidic,Summer,"White, pink, coral, maroon, orange, yellow",8 to 10,
58,Magnolia ashei,"Ashe's Magnolia, Ashe Magnolia",,Tree,25 ft. tall,"Full Sun, Partial Shade","Fertile, Well-drained","Acid, Neutral, Alkaline","Spring, Summer",White,"6-9, USA",
59, Trachelospermum asiaticum," Asiatic jasmine, Asian star jasmine, dwarf jasmine, small-leaf confederate jasmine", Apocynaceae, Perennial vine, 6-10 ft. spread," Full, partial", Well-drained, Acidic to neutral (5.5 to 7.0)," Spring, summer", Yellow, 7-9 (USDA)," Japan, Korea"
60,Asparagus officinalis,Asparagus,Asparagaceae,Perennial vegetable,"5 ft. tall, 3 ft. wide",Full sun,"Sandy, loamy",Neutral to slightly acidic (6.5 to 7.0),"Summer, fall","Pale yellow, greenish","4-9, USA","Europe, Africa"
61,"Asparagus aethiopicus, A. densiflorus",Asparagus fern,Asparagaceae,Herbaceous perennial,"Up to 3 ft. tall, 4 ft. wide","Partial (outdoor); bright, indirect light (indoors)",Well-drained potting mix,Slightly acidic (6.5-6.8),Spring to fall,White; flowers are insignificant,9-11 (USDA),South Africa
62,Symphyotrichum spp.,,Asteraceae,,"1–6 ft. tall, 1–4 ft. wide",Full,"Loamy, well-drained","Neutral, acidic",,"Purple, pink, blue, white",3-8 (USDA),North America
63,Astilbe spp.,"Astilbe, false spirea, false goat's beard",Saxifragaceae,"Perennial, rhizome","6-24 in. tall, 6-60 in. wide","Partial, full","Loamy, moist","Acidic, neutral","Spring, summer","Pink, red, purple, white",3-8 (USDA),"Asia, North America"
64,Aubrieta spp.,"Aubrieta, false rock cress",,Herbaceous perennial,4 to 6 inches tall; 12-to 24-inch spread ,Full sun to part shade,"Lean, rocky soil",6.5 to 7.5 (slightly acidic to alkaline) ,"April, May","Pink, purple, white", 4 to 9 (USDA),Rocky regions of southwestern Europe
65,Cyathea cooperi,"Australian tree fern, Cooper's tree fern, lacy tree fern, scaly tree fern",Cyatheaceae,"Herbaceous, perennial","15–25 ft. tall, 10–12 ft. wide","Partial, shade","Moist, well-drained","Neutral, acidic",,,9–11 (USDA),Australia
66,Pinus Nigra,"Austrian pine, European black pine, black pine",,Needled evergreen tree,40 to 60 feet; 20- to 40-foot spread,Full sun,"Moist, well-drained soil",4.0 to 7.0 (but tolerates a mildly alkaline soil),Indistinct flowers appear in spring,Yellowish-green flowers are inconspicuous,4 to 7 (USDA),Central and southern Europe
67,Clusia rosea,"Autograph tree, balsam apple, pitch apple",Clusiaceae,"Shrub, tree","8 to 25 ft. tall, 8-10 ft. wide",Full,"Sand, clay, loam, well-draining","Acidic, neutral",Summer,"White, pink",10b-11 (USDA),"Caribbean, Central America"
68,Acer x freemanii 'Autumn Blaze',"Autumn blaze maple tree, Freeman maple",Sapindaceae,Tree,"40-55 feet tall, 30-40 feet wide","Full, partial",Well-drained,Acidic,,,3-8 (USDA),North America
69, Dryopteris erythrosora,, Aspleniaceae, Herbaceous perennial," 18-24 in. tall, 18-24 in. spread", Shade," Moist, well-drained", Acidic,,, 5-9 (USDA), Asia
70,Salvia greggii,"Autumn sage, Texas sage,",Lamiaceae,"Perennial, ""subshrub""",2–3 ft. tall and wide,Full,"Well-draining, fertile",Slightly acidic to slightly alkaline (6.1–7.8),Early summer to mid-fall,"Red, pink, white, violet, peach, orange",6-9 (USDA),"Southwestern North America (Mexico, Texas, Arizona, New Mexico)"
71,Persea americana,Avocado Tree,Lauraceae,"Tree, Fruit","60 ft. tall, 30 ft. wide","Full, Partial","Loamy, Sandy, Well-drained","Acidic, Neutral","Late Winter, Spring, Early Summer","Yellow, Green","9-11, USA","North America, Central America, Asia"
72,Rhododendron spp.,Azalea,Ericaceae,Deciduous or evergreen shrub,"3–20 ft. tall, wide",,"Light, well-drained",Acidic (4.5 to 6.0),Early spring to summer,"White, pink, red, orange, peach",6b-8a (USDA); varies by species,
73,"Peperomia spp. (including P. caperata, P. obtusifolia, and others)",,Piperaceae,"Perennial, epiphyte","6–12 in. tall, 6–12 in. wide",Full or partial,Moist but well-drained,Neutral to acidic,Summer,"White, green, brown",10–12 (USDA),"Central America, South America, and the Caribbean"
74,Peperomia Obtusifolia,"Baby rubber plant, pepper face plant",Piperaceae,"Perennial, Herbaceous",Up to 1 ft. tall,Partial,"Clay, Sand, Loam","Acidic, Neutral, Alkaline",Periodic through the year,White,10-12 (USDA),South America
75,Soleirolia soleirolii,"Baby tears, baby's tears, angel's tears",Urticaceae,"Herbaceous perennial, often grown as an annual",4 in. tall; 36 in. wide,Partial sun to shade,"Rich, moist loam",5.0 to 6.0 ( slightly acidic),Late spring to early summer; May to June,Creamy ivory,9 to 11 (USDA),Mediterranean
76,Fenestraria rhopalophylla ,"Baby Toes, Baby's Toes, Window Plant ",,Succulent ,3 inches tall ,Full ,"Sandy, well-drained ",Acidic ,"Spring, fall ","Yellow, white ","10a, 10b, 11a, 11b ",Namibia and South Africa
77,Gypsophila,Baby's breath,,"Perennial, annual",2–3 feet tall and wide,Full,Well-drained,Alkaline,Summer,"White, pink",3–9 (USDA),"Europe, Africa, Asia, Australia"
78,Centaurea cyanus,"Cornflower, bachelor's button",Asteraceae,Annual,"12–48 in. tall, 10–12 in. wide","Full, partial","Moist, well-drained",Alkaline,"Spring, summer","Blue, purple, pink, white, red",2–11 (USDA),Europe
79,Paspalum notatum,"Bahia grass, bahiagrass",,Grass,8 to 30 inches tall,Full sun,"Sandy, poor soil",Acidic,,Not applicable,"7 to 11, USA",South America
80,Taxodium distichum,Bald Cypress,,Deciduous Conifer,"50-70 ft. tall, 20-30 ft. wide",Full sun,"Average, medium to wet, but adaptable","Prefers acidic, but can be adaptable",Non-flowering,Non-flowering,"4-9, USDA",Southern United States
81,Parodia magnifica,"Ball cactus, balloon cactus, silver ball cactus, blue ball cactus, rounded ball cactus",Cactaceae,Cactus,"3–12 in. tall, 3–18 in. wide","Full sun, partial shade","Sandy, well-drained",Acidic,Summer,"Yellow, pink, red, orange",9–12 (USDA) ,South America
82,Platycodon grandiflorus,"Balloon flower, Chinese bellflower, Japanese bellflower",Campanulaceae (bellflower),Herbaceous perennial,"1– 2 1/2 ft. tall, 1–1 1/2 ft. wide",Full sun to part shade,"Rich, loamy, medium moisture, well-draining",5.5–7.5 (acidic to slightly alkaline),Summer,"Blue-violet, white, pink",3–8 (USDA),"China, Korea, Japan, Russia"
83, Populus x jackii, Balm of Gilead, Salicaceae, Tree," 100 ft. tall, 40 ft. wide", Full," Loamy, sandy, moist but well-drained", Neutral, Spring,"Red, yellow, green"," 2-7, USDA", North America
84, Abies balsamea, Balsam fir, Pinaceae, Tree," 50-75 ft. tall, 20-25 ft. long, 20-25 ft. wide"," Full, partial"," Loamy, sandy, moist but well-drained", Acidic, NA, NA," 3-5, USA", North America
85,Phyllostachys aurea,,,"Perennial, rhizome, grass",,,,,,,,
86,Chamaedorea seifrizii,Bamboo palm,,"Perennial, clustered parlour palm, reed palm, cane palm","4-12 ft. tall, 3-5 ft. wide","Partial, shade",Moist but well-drained,"Acidic, neutral ","Spring, summer","Yellow, orange","10-11, USA",Central America
87,Musa spp.,,Musaceae,"Herbaceous, perennial","2–30 ft. tall, 1–15 ft. wide (varies widely by species)",Full,"Loamy, well-drained",Acidic,Spring,"White, purple, orange",9–11 (USDA),"Asia, Africa, Australia"
88,Yucca baccata,Banana Yucca,,Cactus/Succulent,Foliage 2-3 feet; bloom spike 2 feet,Full sun,Dry and sandy; well-drained,6.6-8.7,Spring,Cream/White,5-11,Southwestern US and Mexico
89,Epimedium,"Epimedium, barrenwort, bishop’s hat, fairy wings, horny goat weed",Berberidaceae,"Perennial, groundcover","8-12 in. tall, 12-36 in. wide","Partial, shade","Loamy, sandy, moist but well-drained","Acidic, neutral, alkaline",Spring,"Red, pink, orange, yellow, purple, white","5-8, USA","Asia, Mediterranean"
90,Pyrus communis,"Bartlett Pear Tree, Williams Pear Tree",Rosaceae,"Tree, Fruit","20 ft. tall (standard), 15 ft. tall (dwarf), 20 ft. wide (standard), 10 ft. wide (dwarf)",Full,"Loamy, clay, moist but well-drained",Acidic,Spring,White,"5-7, USA",Europe
91,Euphorbia obesa,"Baseball plant, sea urchin plant",,Succulent perennial,"7 to 8 inches tall, up to 4 inches wide","Bright, direct light; tolerates some shade",Well-draining cactus/succulent potting mix,6.0–7.0 (slightly acidic to neutral),Summer (flowers are fairly insignificant),Grayish-green,10–11 (USDA); grown as houseplants in all zones,South Africa
92,Centaurea americana,"Basket flower, basket-flower, American basketflower, American starthistle",,"Annual, herb","2-5 ft. tall, 2-3 ft. wide",Full sun,"Sandy, loamy, clay","Acid, neutral",Late spring to early summer,"Lavender, pink, purple, white","3 - 9, USDA",North America
93,Tilia spp.,"Basswood, Linden, Lime",,Deciduous tree,Malvaceae,Full sun,"Average, medium moisture, well-drained",Varies,Late spring,Pale yellow,Varies,Varies
94,Tacca chantrieri,"Bat flower, tiger beard, cat's whiskers, devil's flower",,Perennial,"36 inches tall, 12 inches wide",Partial sun to dappled shade,"Fertile, well-drained",6.1 to 7.5,Late summer through fall,Black (dark purple),9b to 11,
95,Iris germanica 'Batik',"Batik iris, Batik German iris, Batik bearded iris",,Herbaceous perennial,24 inches in height,Full sun,"Friable, evenly moist, and well-drained",Neutral,May,"Royal purple, with white blotches",4 to 9,The eastern Mediterranean
96,Corylus cornuta,Beaked hazelnut,,Deciduous shrub,12' tall,Full sun,Well-drained,6.8-7.2,Spring,"Yellow catkins (male), red flowers (female)",3-8,North America
97,Satureja hortensis,Summer savory,,Annual herb,12-24 in. tall,Full sun,Loamy,6.6-7.5,Summer,"Pink, lilac, or white",1-11 (USDA),"Eastern Mediterranean, the Caucasus"
98,Acanthus mollis,,,Perennial,3 to 6 feet tall and 3 to 6 feet wide,Full sun to partial shade,Rich soil with proper drainage,6.5 to 7.5,Late spring to mid summer,White flowers grow on tall (3 feet) flower stalks and are hooded by purple bracts,"6 to 10; they can often survive winter down to Zone 5, but can be a gamble in a harsh winter",
99,Iris germanica,Bearded iris,Iridaceae,"Herbaceous, perennial","12–40 in. tall, 1 –2 ft. wide",Full,"Average, well-draining",,Spring,"Red, orange, yellow, blue, purple, brown, white, pink, many bicolors",3–9 (USDA),Southern Europe and the Mediterranean
100,Penstemon,Beardtongue,,"Herbaceous, perennial",6 in. to 8 ft. tall and 8 to 20 in. wide,Full,Well-drained,Neutral to acidic,"Spring, summer","Purple, blue, orange, red, yellow, pink, white",3-8,North America
101,Callicarpa americana,"American beautyberry, beautyberry, French mulberry",Verbenaceae,Shrub,"3-6 ft. tall, 3-6 ft. wide","Full, partial","Clay, moist","Acidic, neutral","Spring, summer","Pink, lavender",6-10 (USDA),
102,Leucanthemum x superbum 'Becky',Becky shasta daisy,Asteraceae,"Herbaceous, perennial","3–4 ft. tall, 2–3 ft. wide",Full,Well-drained,Neutral,Summer,White,5–9 (USDA),North America
103,Monarda,"Bee Balm, Wild Bergamot",Lamiaceae,"Perennial, Herb","10-15 in. tall (dwarf), 2-4 ft. tall (standard), 18-24 in. wide (dwarf), 3-4 ft. wide (standard)","Full, Partial","Loamy, Moist but well-drained","Acidic, Neutral","Summer, Fall","Red, Pink, Purple, White","3-9, USA",North America
104,"Solanum lycopersicum ""Beefsteak""",Beefsteak Tomatoes ,,"Annual, vegetable ",6 feet tall or more,Full sun,"Fertile, well-drained",Slightly acidic,Summer,,"2-11, USDA",Central and South America
105,Beta vulgaris,"Beet, beetroot",Amaranthaceae,"Annual, vegetable",,"Full sun, part sun","Loamy, moist, well-drained","Acidic, neutral (6.0–7.0)",Seasonal,,2–11 (USDA),Europe
106,Moluccella laevis,,Lamiaceae,"Annual, perennial","2–3 ft. tall, 10–12 in. wide","Full, partial","Moist, well-drained",Neutral,"Summer, fall",White,9-11 (USDA),Asia
107,Monarda spp.,"Bee balm, monarda, wild bergamot",Lamiaceae,"Herbaceous, perennial","2–4 ft. tall, 2–3 ft. wide","Full, partial","Rich, moist","Acidic, neutral",Summer,"Red, purple, pink",4–9 (USDA),North America
108,Bergenia cordifolia,"Pig squeak, heartleaf bergenia, elephant's ears",,Hardy perennial,1 to 2 feet tall and wide,Part shade to full shade,Moist and rich loam or clay,Slightly acidic to neutral (5.8 to 7.0),April and May,"Pink, red, white",4 to 8 (USDA),
109,Solanum lycopersicum ‘Better Boy’,Better Boy tomato,,Annual vegetable,"5-8 ft. tall, 2-3 ft. wide",Full; 6 to 8 or more hours per day,"Loamy, moist but well-drained","6.5 to 6.8, slightly acidic","Summer, Fall",Yellow,"3-11, USA",North America
110,Bidens,Bidens,,"Annual, perennial ","6-12 in. tall, 1-3 ft. wide",Full,Well-drained,Slightly acidic to neutral,Summer,"Yellow, Gold, White, Pink, Orange","8, 9, 10, 11","North America, South America, Africa, Europe, Asia"
111,Andropogon gerardi,"Big bluestem, turkey foot, tall bluestem, bluejoint",,Grass,6-8 ft. tall,"Full sun, part shade","Sandy, loam, clay, well-draining",4.8-6.9,Summer,"Purple, yellow",4-9 (USDA),North America
112,Magnolia macrophylla,,,Tree,30–40 ft. tall and wide,"Full, partial","Loamy, moist, well-drained","Acidic, neutral",Late spring to early summer,Creamy white with purple petal bases,5–8 (USDA),"Caribbean, North America, Central America"
113,Vinca major,"Bigleaf Periwinkle, Greater Periwinkle, Blue Periwinkle",,Evergreen perennial ,6-8 inches tall ,Shade to full sun ,"Well-drained, clay or loam",Slightly acidic ,Mid to late spring ,"Purple, blue ",4-9 (USDA) ,
